name,label
王仲勉经验方,Literature
救急方,Literature
湿热者慎服,Contraindication
搜风,Efficacy
拔毒,Efficacy
排脓,Efficacy
袖珍方,Literature
抗癌本草,Literature
静月山人家传秘方,Literature
熊氏妇人良方补遗,Literature
痈疽已溃不宜服，孕妇亦忌之,Contraindication
燥湿祛风,Efficacy
医方易简,Literature
姜月峰家传方,Literature
全展选编?皮肤疾病,Literature
阴亏血虚及孕妇忌服《本草通玄》：血虚大忌用之内服宜慎，中病即止，不可多服久服,Contraindication
杀虫、解毒、疗疮、助阳,Efficacy
驱虫止虫，补虚药,Category
种杏仙方,Literature
经验广集,Literature
下乳,Efficacy
利水消肿,Efficacy
驱虫止虫、利水消肿药,Category
全国各地都有。,Origin
验方选集,Literature
国医导报,Literature
岭南草药志,Literature
解毒杀虫 燥湿 祛风,Efficacy
驱虫止虫、补虚药,Category
僧深集方,Literature
祛风,Efficacy
功毒,Efficacy
广西等地,Origin
全展选编?皮肤科,Literature
十便良方,Literature
食医心镜,Literature
乾坤生意秘韫,Literature
峋嵝神书,Literature
昆明民间常用草药,Literature
云南思茅中草药选,Literature
气虚血弱及肾功能不全者慎服,Contraindication
收涩药,Category
全国各地(除青海,Origin
新疆外),Origin
卫生易简力,Literature
中医大宝库民间验方,Literature
外感风寒或肺有实热之咳嗽及积滞未清之泻痢忌服,Contraindication
收敛固涩,Efficacy
益气生津,Efficacy
补肾宁心,Efficacy
华北及河南等地,Origin
三因方,Literature
备急千金要方,Literature
医方一盘珠,Literature
外有表邪、内有实热或咳嗽初起、痧疹初发者忌服,Contraindication
外有表邪，内有实热，或咳嗽初起、痧疹初发者忌服,Contraindication
咳嗽、泻痢初起，或久痢积滞未消者慎服本品易成瘾，不宜常服；儿童禁用,Contraindication
敛肺,Efficacy
涩肠,Efficacy
下气,Efficacy
利咽,Efficacy
清凉解毒,Efficacy
宣明论方,Literature
凡外邪未解，内有湿热火邪者忌服气虚人忌多服,Contraindication
益心敛肺,Efficacy
化湿止泻,Efficacy
中草药手册,Literature
有实邪者忌用,Contraindication
医钞类编,Literature
用量不宜过大痢疾积滞未清者慎服,Contraindication
胜金方,Literature
秘传大麻疯方,Literature
暴病实邪、孕妇慎用,Contraindication
涩肠止血,Efficacy
收湿生肌,Efficacy
斗门方,Literature
湿热积滞者禁服，孕妇慎服不宜与肉桂同用,Contraindication
温中固肠,Efficacy
下气消食,Efficacy
马来西亚,Origin
巴西等国家,Origin
太平圣惠方,Literature
中医大宝库收录,Literature
太平惠民和剂局方,Literature
收敛生津,Efficacy
安蛔驱虫,Efficacy
感冒发热、肠炎、儿童慎用女性经期及产前、后慎用,Contraindication
固表止汗,Efficacy
收涩固表止汗药,Category
宁夏,Origin
新疆等,Origin
本草,Literature
范汪方,Literature
谈野翁试验方,Literature
表邪者忌服,Contraindication
养阴除热,Efficacy
止汗,Efficacy
中国医学大辞典,Literature
中华本草,Literature
药材资料汇编,Literature
未知,Contraindication
补气升阳,Efficacy
生津养血,Efficacy
行滞通痹,Efficacy
托毒排脓,Efficacy
敛疮生肌,Efficacy
