disease_name,department_name
躁狂抑郁症,精神科
梦游症,精神科
抽动障碍,精神科
恐怖症,精神科
寄生虫妄想,精神科
强迫型人格障碍,精神科
阿尔茨海默病性痴呆,精神科
阿斯伯格综合症,精神科
表演型人格障碍,精神科
拔毛狂,精神科
产后精神病,精神科
创伤后应激障碍,精神科
冲动型人格障碍,精神科
产后抑郁症,精神科
抽动秽语综合征,精神科
臭汗恐惧症,精神科
单纯型精神分裂症,精神科
单次发作抑郁症,精神科
儿童期精神障...,精神科
分裂情感性障碍,精神科
发作性嗜睡强...,精神科
发作性睡病,精神科
反应性精神病,精神科
分裂情感性精神病,精神科
反社会人格障...,精神科
反社会人格障碍,精神科
孤独症,精神科
工业中毒所致...,精神科
肝豆状核变性...,精神科
孤独症谱系障碍,精神科
感应性妄想性障碍,精神科
广泛性焦虑障碍,精神科
急性应激反应,精神科
惊恐症,精神科
疾病恐怖,精神科
急性妄想发作,精神科
精神发育迟缓,精神科
酒精伴发的精神障碍,精神科
酒精所致精神障碍,精神科
精神分裂症,精神科
精神发育迟滞,精神科
恐惧症,精神科
恐怖性焦虑障碍,精神科
口水强迫症,精神科
恐缩症,精神科
克-雅氏病性痴呆,精神科
空巢综合症,精神科
老年期谵妄,精神科
老年人神经症,精神科
旅途精神病,精神科
老年期抑郁障碍,精神科
老年人睡眠障碍,精神科
老年期抑郁症,精神科
脑外伤所致精神障碍,精神科
脑外伤伴发的...,精神科
帕金森病性痴呆,精神科
品行障碍,精神科
皮肤行为症,精神科
皮克病性痴呆,精神科
偏执性精神障碍,精神科
偏执狂,精神科
皮质性遗忘症,精神科
强迫性障碍,精神科
其他类精神活...,精神科
躯体疾病伴发...,精神科
强迫症,精神科
情感障碍,精神科
气功所致精神障碍,精神科
情感性心境障碍,精神科
躯体形式障碍,精神科
躯体感染伴发...,精神科
青春型精神分裂症,精神科
染色体异常伴...,精神科
人格解体-现...,精神科
人格障碍,精神科
失眠抑郁,精神科
肾上腺皮质功...,精神科
睡眠型癫痫,精神科
植物神经功能障碍,精神科
丧偶后适应性障碍,精神科
肾性脑病,精神科
散发性脑炎伴...,精神科
双性恋,精神科
水、电解质紊...,精神科
适应障碍,精神科
围术期伴发的...,精神科
妄想症,精神科
性功能异常伴...,精神科
性欲亢进,精神科
性兴奋障碍,精神科
性变态,精神科
学习技能发育障碍,精神科
烟草依赖综合症,精神科
延迟性应激反应,精神科
月经周期性精神病,精神科
幽闭空间恐惧症,精神科
抑郁性神经症,精神科
癔球症,精神科
癔症,精神科
夜惊,精神科
转换性障碍,精神科
躁狂症,精神科
自闭症,精神科
注意缺陷障碍,精神科
谵妄综合征,精神科
致死性家族性失眠症,精神科
痢疾,传染科
解脲支原体感染,传染科
淋巴结核,传染科
流行性脑脊髓膜炎,传染科
EB病毒感染,传染科
寻常狼疮,传染科
结肠阿米巴,传染科
广州管圆线虫病,传染科
高致病性禽流...,传染科
结核性盆腔炎,传染科
链球菌感染,传染科
继发性肺结核,传染科
埃利希体病,传染科
埃里希体病,传染科
艾滋病,传染科
阿根廷出血热,传染科
A链球菌群感染,传染科
埃及血吸虫病,传染科
埃博拉病毒病,传染科
艾滋病神经系统损害,传染科
不动杆菌感染,传染科
斑疹伤寒,传染科
鼻结核,传染科
巴贝虫病,传染科
布氏菌病,传染科
白喉,传染科
白痢,传染科
白蛉热,传染科
病毒性出血热,传染科
巴西紫热,传染科
鼻疽,传染科
布鲁菌病,传染科
肠伤寒,传染科
肠道厌氧菌感染,传染科
肠结核,传染科
肠道传染病,传染科
查加斯病,传染科
传染性单核细...,传染科
肠道病毒71型感染,传染科
产气杆菌肠炎,传染科
单纯疱疹病毒感染症,传染科
丹毒丝菌病,传染科
登革出血热,传染科
短膜壳绦虫病,传染科
单纯疱疹性脑炎,传染科
登革热,传染科
地方性斑疹伤寒,传染科
单纯疱疹,传染科
单纯性疱疹,传染科
东方马型脑炎,传染科
颚口线虫病,传染科
鄂木斯克出血热,传染科
发热伴血小板...,传染科
副伤寒,传染科
