prescription_name,herb_name,dosage
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,脐),半两
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,桔梗,半两
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,杏仁(汤浸,适量
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,尖双仁,适量
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,),半两
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,知母,半两
复明汤,青皮,3分
复明汤,橘皮,5分
复明汤,川芎,5分
复明汤,苍术,5分
复明汤,甘草,1钱
复明汤,生地黄,1钱
复明汤,连翘,1钱
复明汤,柴胡,1钱
复明汤,黄耆,1钱5分
复明汤,当归身,2钱
复明汤,草龙胆麻黄,等分
复明汤,苍术,60克（米泔浸
复明汤,焙干）谷精草,30克
复明汤,地肤子,15克
复明汤,决明子,15克
复明汤,黄芩,15克
复明汤,黄耆,5克
复明汤,生地黄,适量
复明汤,柴胡,适量
复明汤,连翘,适量
复明汤,甘草,3克
复明汤,当归,6克
复明汤,苍术,适量
复明汤,川芎,适量
复明汤,陈皮,1.5克
复明汤,黄柏,0.9克
复明汤,苍术,2两（米泔浸
复明汤,焙干）,适量
复明汤,谷精草,1两
复明汤,地肤子,半两
复明汤,决明子,半两
复明汤,黄芩,半两
复明汤,黄耆,1钱半
复明汤,生地黄,1钱
复明汤,柴胡,1钱
复明汤,连翘,1钱
复明汤,甘草,1钱
复明汤,当归,2钱
复明汤,苍术,5分
复明汤,川芎,5分
复明汤,陈皮,5分
复明汤,黄柏,3分
复明汤,天麻,1两
复明汤,胡黄连,6钱
复明汤,夜明砂,1两（炒）
复明汤,芦荟,3钱
复明汤,银柴胡,1钱
复明汤,木贼,1两
复明汤,青黛,1两
复明汤,蝉退,1两
复明汤,草决明,1两（炒）
复明汤,五灵脂,1两（酒炒）
复明汤,龙胆草,1两
复明汤,蔓荆子,4钱
复明汤,谷精花,3钱
复明汤,炉甘石半两（童便淬,7次）
复明汤,铜绿,1两（水飞）
复明汤,乳香,3钱
复明汤,白土子,1两3钱（水飞）
复明汤,枯矾,3钱
复明汤,枸杞,25克
复明汤,菊花,20克
复明汤,地黄,15克
复明汤,当归,12克
复明汤,赤芍,9克
复明汤,苏木,15克
复明汤,青葙子,12克
复明汤,丝瓜络,15克
复明汤,寸冬,10克
复明汤,珍珠母,50克
复明汤,丹参,12克
复明汤,生芪,15克
三黄汤,麻黄,3.5克
三黄汤,黄耆,1.5克
三黄汤,黄芩,2.2克
三黄汤,独活,3克
三黄汤,细辛,1.5克
三黄汤,大黄,9克
三黄汤,黄芩,6克
三黄汤,甘草,3克
三黄汤,栀子,27枚
三黄汤,黄连,30g
三黄汤,黄柏,30g
三黄汤,乳香,15g
三黄汤,没药,15g
三黄汤,五倍子,15g
三黄汤,苦参,30g
三黄汤,朴硝,20g
三黄汤,荆芥,15g
三黄汤,防风,15g
三黄汤,延胡索,15g
茯苓白术汤,茯苓,等分
茯苓白术汤,白术,等分
茯苓白术汤,白术,1两
茯苓白术汤,附子,1两
茯苓白术汤,甘草,半两
茯苓白术汤,茯苓,半两
茯苓白术汤,官桂,半两
茯苓白术汤,茯苓,1两
茯苓白术汤,干姜,1两
茯苓白术汤,甘草,1两
茯苓白术汤,白术,1两
茯苓白术汤,桂心,1两
茯苓白术汤,赤茯苓,1两
茯苓白术汤,白术,3分
茯苓白术汤,桂,3分
茯苓白术汤,甘草,半两
茯苓白术汤,芎藭,1两
茯苓白术汤,赤茯苓,1两
